epoch 1/150,completed — steps=63, total_reward=50.33
epoch 2/150,completed — steps=19, total_reward=15.56
epoch 3/150,completed — steps=19, total_reward=15.53
epoch 4/150,completed — steps=19, total_reward=10.21
epoch 5/150,completed — steps=12, total_reward=6.52
epoch 6/150,completed — steps=14, total_reward=9.84
epoch 7/150,completed — steps=15, total_reward=11.08
epoch 8/150,completed — steps=11, total_reward=7.62
epoch 9/150,completed — steps=12, total_reward=9.60
epoch 10/150,completed — steps=9, total_reward=5.65
epoch 11/150,completed — steps=10, total_reward=7.43
epoch 12/150,completed — steps=10, total_reward=6.78
epoch 13/150,completed — steps=11, total_reward=8.00
epoch 14/150,completed — steps=15, total_reward=11.81
epoch 15/150,completed — steps=12, total_reward=7.90
epoch 16/150,completed — steps=13, total_reward=10.37
epoch 17/150,completed — steps=10, total_reward=7.45
epoch 18/150,completed — steps=10, total_reward=7.35
epoch 19/150,completed — steps=10, total_reward=7.54
epoch 20/150,completed — steps=11, total_reward=7.79
epoch 21/150,completed — steps=9, total_reward=4.84
epoch 22/150,completed — steps=9, total_reward=6.42
epoch 23/150,completed — steps=12, total_reward=7.97
epoch 24/150,completed — steps=10, total_reward=6.75
epoch 25/150,completed — steps=17, total_reward=10.49
epoch 26/150,completed — steps=17, total_reward=13.81
epoch 27/150,completed — steps=12, total_reward=8.47
epoch 28/150,completed — steps=10, total_reward=7.36
epoch 29/150,completed — steps=12, total_reward=8.76
epoch 30/150,completed — steps=10, total_reward=7.36
epoch 31/150,completed — steps=10, total_reward=5.82
epoch 32/150,completed — steps=10, total_reward=6.63
epoch 33/150,completed — steps=16, total_reward=7.30
epoch 34/150,completed — steps=37, total_reward=24.26
epoch 35/150,completed — steps=45, total_reward=38.03
epoch 36/150,completed — steps=19, total_reward=10.14
epoch 37/150,completed — steps=31, total_reward=22.47
epoch 38/150,completed — steps=55, total_reward=48.11
epoch 39/150,completed — steps=34, total_reward=20.05
epoch 40/150,completed — steps=23, total_reward=16.01
epoch 41/150,completed — steps=25, total_reward=12.18
epoch 42/150,completed — steps=36, total_reward=29.03
epoch 43/150,completed — steps=38, total_reward=25.99
epoch 44/150,completed — steps=65, total_reward=51.25
epoch 45/150,completed — steps=44, total_reward=32.92
epoch 46/150,completed — steps=35, total_reward=25.14
epoch 47/150,completed — steps=38, total_reward=28.88
epoch 48/150,completed — steps=65, total_reward=50.98
epoch 49/150,completed — steps=59, total_reward=49.85
epoch 50/150,completed — steps=67, total_reward=54.10
epoch 51/150,completed — steps=43, total_reward=30.95
epoch 52/150,completed — steps=40, total_reward=22.18
epoch 53/150,completed — steps=141, total_reward=129.81
epoch 54/150,completed — steps=47, total_reward=30.37
epoch 55/150,completed — steps=75, total_reward=49.66
epoch 56/150,completed — steps=39, total_reward=23.63
epoch 57/150,completed — steps=42, total_reward=22.68
epoch 58/150,completed — steps=64, total_reward=44.30
epoch 59/150,completed — steps=53, total_reward=38.46
epoch 60/150,completed — steps=48, total_reward=23.91
epoch 61/150,completed — steps=64, total_reward=40.65
epoch 62/150,completed — steps=97, total_reward=80.66
epoch 63/150,completed — steps=86, total_reward=67.98
epoch 64/150,completed — steps=96, total_reward=70.41
epoch 65/150,completed — steps=98, total_reward=73.93
epoch 66/150,completed — steps=99, total_reward=83.89
epoch 67/150,completed — steps=128, total_reward=105.79
epoch 68/150,completed — steps=247, total_reward=217.17
epoch 69/150,completed — steps=149, total_reward=126.83
epoch 70/150,completed — steps=208, total_reward=156.77
epoch 71/150,completed — steps=185, total_reward=135.86
epoch 72/150,completed — steps=479, total_reward=451.15
epoch 73/150,completed — steps=245, total_reward=197.65
epoch 74/150,completed — steps=184, total_reward=144.73
epoch 75/150,completed — steps=232, total_reward=184.57
epoch 76/150,completed — steps=407, total_reward=375.51
epoch 77/150,completed — steps=308, total_reward=262.39
epoch 78/150,completed — steps=277, total_reward=234.43
epoch 79/150,completed — steps=397, total_reward=352.68
epoch 80/150,completed — steps=500, total_reward=500.00
epoch 81/150,completed — steps=220, total_reward=178.71
epoch 82/150,completed — steps=442, total_reward=398.52
epoch 83/150,completed — steps=430, total_reward=390.31
epoch 84/150,completed — steps=394, total_reward=350.44
epoch 85/150,completed — steps=439, total_reward=406.73
epoch 86/150,completed — steps=417, total_reward=399.46
epoch 87/150,completed — steps=414, total_reward=395.16
epoch 88/150,completed — steps=500, total_reward=500.00
epoch 89/150,completed — steps=310, total_reward=293.25
epoch 90/150,completed — steps=500, total_reward=500.00
epoch 91/150,completed — steps=313, total_reward=292.24
epoch 92/150,completed — steps=500, total_reward=500.00
epoch 93/150,completed — steps=351, total_reward=322.05
epoch 94/150,completed — steps=500, total_reward=500.00
epoch 95/150,completed — steps=500, total_reward=500.00
epoch 96/150,completed — steps=500, total_reward=500.00
epoch 97/150,completed — steps=498, total_reward=463.37
epoch 98/150,completed — steps=445, total_reward=418.69
epoch 99/150,completed — steps=500, total_reward=500.00
epoch 100/150,completed — steps=292, total_reward=270.89
epoch 101/150,completed — steps=500, total_reward=491.53
epoch 102/150,completed — steps=455, total_reward=429.18
epoch 103/150,completed — steps=419, total_reward=377.82
epoch 104/150,completed — steps=500, total_reward=500.00
epoch 105/150,completed — steps=284, total_reward=248.16
epoch 106/150,completed — steps=488, total_reward=458.32
epoch 107/150,completed — steps=500, total_reward=470.38
epoch 108/150,completed — steps=500, total_reward=421.23
epoch 109/150,completed — steps=500, total_reward=500.00
epoch 110/150,completed — steps=494, total_reward=491.56
